Rank,Player,Team,Seed,Proj Games,MPG,PPG,RPG,APG,SPG,BPG,Raw Score/G,Proj Total,Tier
187,Luka Bogavac,North Carolina,6,1.7,24.1,9.8,2.5,2.2,0.3,0,14.8,25.2,Tier 4
188,Jarin Stevenson,North Carolina,6,1.7,25.6,8,4.4,0.9,0.6,0.7,14.6,24.8,Tier 4
189,Collin Chandler,Kentucky,7,1.5,26.6,9.9,2.8,2.2,1.2,0.2,16.3,24.4,Tier 4
190,RJ Godfrey,Clemson,8,1.2,25.1,11.9,5.3,1.6,0.6,0.6,20,24,Tier 4
191,Dillan Shaw,Saint Mary's,7,1.5,27.3,7.5,5.3,1.6,0.9,0.6,15.9,23.8,Tier 4
192,Marcus Millender,Georgia,8,1.2,26,11.9,2.8,4,0.9,0,19.6,23.5,Tier 4
193,Kennard Davis,BYU,6,1.7,29.3,8.5,2.7,1.3,1.1,0.2,13.8,23.5,Tier 4
194,Kanon Catchings,Georgia,8,1.2,23.5,12,4.8,1.2,0.8,0.4,19.2,23,Tier 4
195,Aleksas Bieliauskas,Wisconsin,5,2.1,19.9,5,4.3,0.9,0.1,0.6,10.9,22.9,Tier 4
196,Christoph Tilly,Ohio State,8,1.2,25.8,11,4.7,2.2,0.6,0.5,19,22.8,Tier 4
197,Somto Cyril,Georgia,8,1.2,21.5,9.6,5.6,0.6,0.6,2.3,18.7,22.4,Tier 4
198,Carter Welling,Clemson,8,1.2,20.8,10.2,5.4,1.1,0.8,0.8,18.3,22,Tier 4
199,Luke Bamgboye,Texas Tech,5,2.1,16.7,4.7,3.3,0.5,0.3,1.7,10.5,22,Tier 4
200,Amare Bynum,Ohio State,8,1.2,28.3,9.7,4.8,1.1,0.6,0.8,17,20.4,Tier 4
201,Khani Rooths,Louisville,6,1.7,16.5,5.5,4.4,1,0.6,0.4,11.9,20.2,Tier 4
202,Bryce Lindsay,Villanova,8,1.2,28.3,11.9,2.1,2,0.7,0,16.7,20,Tier 4
203,Derek Dixon,North Carolina,6,1.7,21.8,6.4,2.3,2.6,0.4,0,11.7,19.9,Tier 4
204,Jamari McDowell,Kansas,4,2.8,17.8,3.5,1.6,1.2,0.4,0.2,6.9,19.3,Tier 4
205,Devin Askew,Villanova,8,1.2,23.1,10,2.6,2.1,1.1,0.1,15.9,19.1,Tier 4
206,Dante Allen,Miami (FL),7,1.5,23.8,6.4,2.8,2.2,1,0.1,12.5,18.7,Tier 4
207,Xavier Booker,UCLA,7,1.5,19.6,6.9,3.3,0.8,0.2,1.1,12.3,18.4,Tier 4
208,Dillon Hunter,Clemson,8,1.2,28.5,7.5,3.8,3,0.9,0.1,15.3,18.4,Tier 4
209,Nick Davidson,Clemson,8,1.2,21.7,9.1,4.1,1.1,0.5,0.4,15.2,18.2,Tier 4
210,Harry Wessels,Saint Mary's,7,1.5,16.8,4.9,5.2,0.6,0.4,1,12.1,18.2,Tier 4
211,DeWayne Brown II,Tennessee,6,1.7,15.4,4.9,3.8,0.9,0.3,0.4,10.3,17.5,Tier 4
212,Matthew Hodge,Villanova,8,1.2,27.6,9.2,3.6,0.7,0.4,0.6,14.5,17.4,Tier 4
213,Dawson Baker,BYU,6,1.7,19.8,7.5,1.7,0.5,0.5,0,10.2,17.3,Tier 4
214,Jestin Porter,Clemson,8,1.2,27.1,9.6,1.8,1.3,1.2,0.2,14.1,16.9,Tier 4
215,Ace Buckner,Clemson,8,1.2,19.5,8.4,2.8,1.8,0.9,0.1,14,16.8,Tier 4
216,Andrija Jelavic,Kentucky,7,1.5,15.8,5.8,3.9,0.6,0.5,0.3,11.1,16.6,Tier 4
217,Brandon Garrison,Kentucky,7,1.5,15.9,4.6,3.9,1.1,0.5,0.7,10.8,16.2,Tier 4
218,Cade Phillips,Tennessee,6,1.7,16.9,3.8,4,0.4,0.2,1.1,9.5,16.1,Tier 4
219,Tyeree Bryan,Texas Tech,5,2.1,17.4,3.7,2.6,0.6,0.4,0.2,7.5,15.8,Tier 4
220,Kam Williams,Kentucky,7,1.5,18.9,6.2,2.3,1,0.6,0.3,10.4,15.6,Tier 4
221,Zac Foster,Clemson,8,1.2,18.7,6.9,2.8,2.5,0.4,0.3,12.9,15.5,Tier 4
222,Marcus Allen,Miami (FL),7,1.5,18.9,5.3,3.1,1.6,0.3,0,10.3,15.4,Tier 4
223,Khadim Mboup,BYU,6,1.7,15.6,2.3,5.1,0.4,0.5,0.5,8.8,15,Tier 4
224,Brandon Noel,Ohio State,8,1.2,19.9,7.1,3.9,0.9,0.3,0.2,12.4,14.9,Tier 4
